min_t,max_t,min_f,max_f,label,min_y,min_x,max_y,max_x,shp_001,shp_002,shp_003,shp_004,shp_005,shp_006,shp_007,shp_008,shp_009,shp_010,shp_011,shp_012,shp_013,shp_014,shp_015,shp_016,fname
0.010666666666666666,3.0,2500.0,5500.0,0,53,0,117,140,0.12889432695682873,0.1517458891432091,0.08664451863714263,0.09664517624333403,0.056023982656704184,0.06221360121237595,0.04739160761725192,0.04926290772970193,0.025642644249877614,0.02557813721853267,0.034097454975805734,0.02737928553807479,0.014211719413059296,0.016406054626369,0.051120188856402925,0.021330399915352453,VEG19_20190808_160000.wav
3.0,6.0,2500.0,5500.0,0,53,140,117,281,0.13225634599116723,0.15761837934915787,0.08294827235887037,0.09130510456589011,0.05705922786345268,0.06294138326313245,0.05073556115805635,0.052221387030882645,0.025567076996859475,0.02832481059758767,0.03685633282837657,0.027963463268126827,0.011165845234513732,0.012303403434646483,0.05175266362312914,0.026055387226789087,VEG19_20190808_160000.wav
6.0,9.0,2500.0,5500.0,0,53,281,117,421,0.1262207158803966,0.15006768811776536,0.08098616775039502,0.08912072495104174,0.052226155603313396,0.06065028770670642,0.048766724885401784,0.04974391538822568,0.022753916473550354,0.02563263674239741,0.04654151430110718,0.03550253093707686,0.011008278669045076,0.011731334858271205,0.06188437318934007,0.042131644494578256,VEG19_20190808_160000.wav
9.0,12.0,2500.0,5500.0,0,53,421,117,562,0.12802047895598448,0.15174940471364562,0.0867814460326934,0.09351896571363225,0.05547363399077176,0.06437735715855078,0.05331695046238239,0.05157996336350019,0.022571423611792853,0.025130071421094347,0.05481017233298655,0.036752410573758276,0.011917764569713392,0.012599853503753568,0.07927243917520613,0.05589399195353015,VEG19_20190808_160000.wav
12.0,15.0,2500.0,5500.0,0,53,562,117,703,0.12876140139270895,0.1546935025056018,0.08851191060470585,0.09543398281069351,0.05579936985446577,0.06474713898547461,0.057491309246140605,0.05504179539327544,0.025952285451479148,0.028178252332748732,0.06528148353675761,0.044289993228502356,0.01499594954459793,0.01604367618804664,0.08456663258786644,0.06027056896665885,VEG19_20190808_160000.wav
15.0,18.0,2500.0,5500.0,0,53,703,117,843,0.13127213952125405,0.16039100693430206,0.0860152592380135,0.0917234777997194,0.05444205722950371,0.06316877905686423,0.0627120670198229,0.05993545309019698,0.02128921741145198,0.023486141498768917,0.06609013588738741,0.04742135901462539,0.015136269986232817,0.01600348354853712,0.0901230318720858,0.06590204694545289,VEG19_20190808_160000.wav
18.0,21.0,2500.0,5500.0,0,53,843,117,984,0.13483034629431792,0.15976035305047573,0.08607408325463706,0.0910654765596725,0.05957819476535548,0.06795211938080867,0.06065552215378332,0.057057272492046396,0.031111268544252,0.029946022997256096,0.06842462726728249,0.05054126804089989,0.01722897813539654,0.01758678727519364,0.09342599917041107,0.06727849208401723,VEG19_20190808_160000.wav
21.0,24.0,2500.0,5500.0,0,53,984,117,1124,0.12903932793683617,0.1530884040993488,0.08850718798469027,0.0942890706147928,0.06109889011527826,0.07269995863116775,0.058043897231898636,0.05747353794704406,0.024842200242482442,0.027588616359748273,0.06264923157615016,0.041170797181207405,0.014691363965503931,0.015030639765895209,0.0897557356730787,0.05886907822989628,VEG19_20190808_160000.wav
24.0,27.0,2500.0,5500.0,0,53,1124,117,1265,0.13489105111301586,0.16062652566771596,0.08901674939123914,0.09376479661835842,0.06314007839287772,0.07274818575317399,0.062329842034762266,0.05778500520742803,0.026999345570034777,0.029680336448126923,0.06815728918058502,0.046305753760232465,0.015095596076605405,0.017368528047829804,0.09353647480872594,0.06301557899883184,VEG19_20190808_160000.wav
27.0,30.0,2500.0,5500.0,0,53,1265,117,1406,0.1283861942543319,0.15383136029545197,0.08892207960213572,0.09495437623403255,0.06268332128115134,0.07338541758353422,0.06552589512985531,0.06001819275924828,0.026598540188483916,0.029822777526606028,0.07851734634097984,0.050783305748321815,0.01733934785775173,0.016915586829889404,0.10868663915426814,0.07563171939585248,VEG19_20190808_160000.wav
30.0,33.0,2500.0,5500.0,0,53,1406,117,1546,0.12956663269850432,0.15501809463766508,0.09118023645300218,0.09712072482840098,0.06986496936028086,0.08057632770617447,0.06693622951340525,0.06126983343058624,0.027742795356389547,0.028799889510727032,0.08147362152114193,0.053822964562832615,0.014996286833727305,0.01655350865855271,0.12118578134738872,0.08550646104611263,VEG19_20190808_160000.wav
33.0,36.0,2500.0,5500.0,0,53,1546,117,1687,0.13393780752946158,0.1605049349608428,0.08793059723592378,0.09628276574080667,0.06158589165782577,0.0736928137106825,0.06475954293261116,0.05744574077886572,0.023637240617281077,0.025465885115025372,0.07827930283038077,0.053197490348200274,0.015782381351797343,0.015630517439265725,0.11561196698188077,0.07867670584838758,VEG19_20190808_160000.wav
36.0,39.0,2500.0,5500.0,0,53,1687,117,1828,0.13365993323151054,0.15965376467422937,0.08898537010085612,0.09503642033262356,0.06741910146555646,0.07338497107447152,0.06819357978975309,0.06050520713927545,0.03478614342367192,0.037079518209758515,0.09072329285103074,0.058783651408862686,0.01958775490885443,0.02253489559489518,0.13856604964553854,0.10072615520744115,VEG19_20190808_160000.wav
39.0,42.0,2500.0,5500.0,1.0,53,1828,117,1968,0.1320652524731279,0.15765933661747802,0.09313280974570548,0.09707336634588923,0.0653516259641118,0.07206037921417,0.06706829648939933,0.060423623053442656,0.033637455794951636,0.03530992242900682,0.08624123911704339,0.05400767891915354,0.020376676423578592,0.018323435189521,0.12438387940203917,0.08810177374957924,VEG19_20190808_160000.wav
42.0,45.0,2500.0,5500.0,1.0,53,1968,117,2109,0.1290715286144393,0.1505123975138053,0.09227972060043903,0.09605215236031592,0.06946875281840433,0.07340458481391553,0.07203463790152045,0.062166071353349235,0.04851559877428489,0.045270575782026305,0.08438781846935275,0.058772101461058324,0.027843787386546876,0.028722980155308536,0.1121373323324667,0.08169681747297894,VEG19_20190808_160000.wav
45.0,48.0,2500.0,5500.0,1.0,53,2109,117,2249,0.1373772600887087,0.16051074153581826,0.0873424732961538,0.09419787002375334,0.07153088315789953,0.07503354585760653,0.06521136806282996,0.06028551262248539,0.04821514511184398,0.046114403001716396,0.0675797060897025,0.04691919043723203,0.026437037368507166,0.02757307225710619,0.09162594502642007,0.06655965417842742,VEG19_20190808_160000.wav
